Timestamp,Volume
1219795200000,13
1219881600000,6
1220313600000,12
1220400000000,3
1220486400000,13
1220572800000,7
1221004800000,10
1221436800000,5
1221523200000,6
1221609600000,4
1221696000000,2
1222041600000,3
1222214400000,4
1222646400000,4
1222819200000,5
1222992000000,21
1223337600000,9
1223596800000,10
1223856000000,4
1223942400000,4
1224115200000,8
1224460800000,5
1224633600000,5
1225238400000,14
1226016000000,12
1226534400000,22
1226880000000,16
1227052800000,8
1227830400000,19
1231977600000,12
1232496000000,9
1233187200000,9
1233619200000,10
1233792000000,9
1234137600000,6
1234396800000,5
1234915200000,5
1235520000000,9
1236124800000,15
1239148800000,9
1239667200000,8
1239840000000,8
1250553600000,18
1252972800000,28
1253577600000,6
1253750400000,7
1255996800000,18
1256169600000,11
1257811200000,9
1258070400000,11
1258070400000,7
1258502400000,8
1258675200000,7
1259712000000,10
1262908800000,16
1266364800000,17
1266796800000,8
1267056000000,2
1268179200000,19
1268265600000,18
1270684800000,8
1270944000000,6
1271635200000,15
1285632000000,3
1285804800000,9
1288051200000,3
1288137600000,7
1297036800000,25
1297814400000,9
1298505600000,4
1299801600000,11
1300060800000,1
1301443200000,7
1302566400000,10
1302739200000,6
1303257600000,4
1303862400000,5
1314921600000,10
1316476800000,6
1316563200000,7
1316649600000,9
1316995200000,10
1317168000000,12
1318377600000,5
1319500800000,11
1319587200000,14
1320883200000,2
1321228800000,2
1321401600000,6
1323043200000,9
1328140800000,4
1328659200000,3
1329350400000,5
1330041600000,7
1330473600000,6
1331683200000,1
1332288000000,3
1335139200000,5
1344902400000,4
1344902400000,5
1347062400000,30
1348012800000,7
1348617600000,12
1349308800000,11
1350518400000,2
1350604800000,5
1351123200000,11
1351728000000,15
1352937600000,9
1354233600000,7
1358899200000,10
1360108800000,19
1360540800000,5
1361318400000,4
1361836800000,4
1361923200000,3
1362096000000,10
1362182400000,20
1362355200000,3
1362700800000,3
1363305600000,3
1363305600000,10
1363651200000,5
1363737600000,4
1364774400000,30
1365120000000,7
1366329600000,4
1366934400000,2
1367366400000,17
1369180800000,8
1369353600000,4
1369785600000,1
1369958400000,6
1370217600000,3
1370304000000,5
1372809600000,4
1378166400000,5
1380844800000,2
1381449600000,9
1382054400000,3
1382486400000,8
1382486400000,8
1382659200000,3
1383004800000,10
1383264000000,1
1383868800000,3
1384473600000,2
1384819200000,6
1385078400000,4
1386028800000,7
1386633600000,10
1389052800000,18
1389398400000,6
1390003200000,6
1390262400000,7
1391126400000,4
1392336000000,2
1409270400000,3
1409788800000,10
1411516800000,10
1412121600000,3
1413331200000,4
1422057600000,20
1422403200000,8
1423267200000,30
1424476800000,14
1432166400000,10
1441670400000,15
1441843200000,15
1442275200000,18